tick_unix,tick_iso,node,presence_online,ps_received,ps_completed,ps_timed_out,ps_max_ms,ms_received,ms_completed,ms_timed_out,ms_max_ms,bk_received,bk_completed,bk_timed_out,bk_max_ms,rd_pubsub_latest,rd_pubsub_max,rd_pubsub_cap,rd_ms_latest,rd_ms_max,rd_ms_cap,rd_bk_latest,rd_bk_max,rd_bk_cap
1777322863,2026-04-27T20:47:44Z,saorsa-2,5,2993,2993,0,186,9709,9709,0,9,307,307,0,1,0,25,10000,0,1,4000,0,0,4000
1777322863,2026-04-27T20:47:44Z,saorsa-3,5,3427,3427,0,178,9638,9638,0,83,303,303,0,7,0,55,10000,0,1,4000,0,0,4000
1777322863,2026-04-27T20:47:44Z,saorsa-6,5,3530,3530,0,119,9595,9595,0,0,301,301,0,2,0,13,10000,0,1,4000,0,0,4000
1777322863,2026-04-27T20:47:44Z,saorsa-7,3,0,0,0,0,0,0,0,0,140,140,0,5,0,0,0,0,0,0,0,0,4000
1777322934,2026-04-27T20:48:54Z,saorsa-2,5,3190,3190,0,186,10010,10010,0,9,316,316,0,1,0,25,10000,0,1,4000,0,0,4000
1777322934,2026-04-27T20:48:54Z,saorsa-3,5,3603,3603,0,178,9941,9941,0,83,312,312,0,7,0,55,10000,0,1,4000,0,0,4000
1777322934,2026-04-27T20:48:54Z,saorsa-6,5,3758,3758,0,119,9895,9895,0,0,311,311,0,2,0,15,10000,0,1,4000,0,0,4000
1777322934,2026-04-27T20:48:54Z,saorsa-7,3,0,0,0,0,0,0,0,0,146,146,0,5,0,0,0,0,0,0,0,0,4000
1777323004,2026-04-27T20:50:04Z,saorsa-2,5,3382,3382,0,186,10320,10320,0,14,327,327,0,2,0,25,10000,0,1,4000,0,0,4000
1777323004,2026-04-27T20:50:04Z,saorsa-3,5,3736,3736,0,178,10248,10248,0,83,322,322,0,7,0,55,10000,0,1,4000,0,0,4000
1777323004,2026-04-27T20:50:04Z,saorsa-6,5,3828,3828,0,119,10197,10197,0,0,321,321,0,2,0,15,10000,0,1,4000,0,0,4000
1777323004,2026-04-27T20:50:04Z,saorsa-7,3,0,0,0,0,0,0,0,0,150,150,0,5,0,0,0,0,0,0,0,0,4000
1777323075,2026-04-27T20:51:15Z,saorsa-2,5,3511,3511,0,186,10628,10628,0,14,335,335,0,2,0,25,10000,0,1,4000,0,0,4000
1777323075,2026-04-27T20:51:15Z,saorsa-3,5,3882,3882,0,178,10554,10554,0,83,331,331,0,7,0,55,10000,0,1,4000,0,0,4000
1777323075,2026-04-27T20:51:15Z,saorsa-6,5,4015,4015,0,119,10499,10499,0,0,329,329,0,2,0,15,10000,0,1,4000,0,0,4000
1777323075,2026-04-27T20:51:15Z,saorsa-7,3,0,0,0,0,0,0,0,0,154,154,0,5,0,0,0,0,0,0,0,0,4000
1777323146,2026-04-27T20:52:26Z,saorsa-2,5,3636,3636,0,186,10931,10931,0,14,344,344,0,2,0,25,10000,0,1,4000,0,0,4000
1777323146,2026-04-27T20:52:26Z,saorsa-3,5,4020,4020,0,178,10860,10860,0,83,341,341,0,7,0,55,10000,0,1,4000,0,0,4000
1777323146,2026-04-27T20:52:26Z,saorsa-6,5,4229,4229,0,119,10799,10799,0,0,340,340,0,2,0,15,10000,0,1,4000,0,0,4000
1777323146,2026-04-27T20:52:26Z,saorsa-7,3,0,0,0,0,0,0,0,0,160,160,0,5,0,0,0,0,0,0,0,0,4000
1777323216,2026-04-27T20:53:36Z,saorsa-2,5,3801,3801,0,207,11235,11235,0,14,355,355,0,2,0,25,10000,0,1,4000,0,0,4000
1777323216,2026-04-27T20:53:36Z,saorsa-3,5,4163,4163,0,178,11162,11162,0,83,350,350,0,7,0,55,10000,0,1,4000,0,0,4000
1777323216,2026-04-27T20:53:36Z,saorsa-6,5,4354,4354,0,119,11096,11096,0,0,349,349,0,2,0,15,10000,0,1,4000,0,0,4000
1777323216,2026-04-27T20:53:36Z,saorsa-7,3,0,0,0,0,0,0,0,0,164,164,0,5,0,0,0,0,0,0,0,0,4000
1777323286,2026-04-27T20:54:46Z,saorsa-2,5,3959,3959,0,207,11541,11541,0,14,363,363,0,3,0,25,10000,0,1,4000,0,0,4000
1777323286,2026-04-27T20:54:46Z,saorsa-3,5,4389,4389,0,203,11467,11467,0,83,359,359,0,7,0,55,10000,0,1,4000,0,0,4000
1777323286,2026-04-27T20:54:46Z,saorsa-6,5,4558,4558,0,132,11397,11397,0,1,357,357,0,2,0,15,10000,0,1,4000,0,0,4000
1777323286,2026-04-27T20:54:46Z,saorsa-7,3,0,0,0,0,0,0,0,0,169,169,0,5,0,0,0,0,0,0,0,0,4000
1777323356,2026-04-27T20:55:56Z,saorsa-2,5,4192,4192,0,207,11843,11843,0,14,372,372,0,3,0,29,10000,0,1,4000,0,0,4000
1777323356,2026-04-27T20:55:56Z,saorsa-3,5,4630,4630,0,203,11773,11773,0,83,369,369,0,7,0,55,10000,0,1,4000,0,0,4000
